,date,cash,position,portfolio_value,close,volatility,ATR,rsi,signal
154,2010-12-08,102121.67117000005,2981,104357.42117000005,0.75,0.02758657352567031,0.029999999999999964,68.00000000000001,buy
155,2010-12-09,103093.18517000004,1685,104356.93517000004,0.75,0.02737629956154577,0.028571428571428543,63.63636363636366,buy
156,2010-12-10,103671.93565000004,933,104390.34565000005,0.77,0.027242708881295208,0.029285714285714266,66.66666666666669,buy
157,2010-12-13,103984.13947000004,522,104380.85947000004,0.76,0.02632645369994517,0.028571428571428557,60.869565217391326,buy
158,2010-12-14,104158.09245000004,293,104380.77245000003,0.76,0.026277667082325557,0.025714285714285707,73.68421052631581,buy
159,2010-12-15,104253.29482500003,166,104377.79482500003,0.75,0.023714786974744065,0.024285714285714282,62.500000000000014,buy
160,2010-12-16,104310.24633500003,92,104381.08633500003,0.77,0.023714786974744065,0.024999999999999998,66.66666666666669,buy
161,2010-12-17,104341.80055000003,51,104381.07055000003,0.77,0.02202224349638425,0.02285714285714286,70.58823529411768,buy
162,2010-12-20,104358.73208000003,29,104381.06208000003,0.77,0.02202224349638425,0.02142857142857144,85.71428571428571,buy
163,2010-12-21,104368.99694500004,16,104381.63694500003,0.79,0.02240898467897022,0.019285714285714302,83.33333333333333,buy
164,2010-12-22,104374.52418000004,9,104381.63418000004,0.79,0.020930731869864015,0.017857142857142873,77.77777777777777,buy
165,2010-12-23,104377.64262000004,5,104381.54262000004,0.78,0.020750364536994734,0.017857142857142873,70.0,buy
166,2010-12-27,104379.20184000004,3,104381.54184000003,0.78,0.020682399309469524,0.019285714285714302,70.0,buy
167,2010-12-28,104379.98145000004,2,104381.54145000003,0.78,0.019218288663989367,0.01857142857142859,70.0,buy
168,2010-12-29,104379.98145000004,2,104381.54145000003,0.78,0.017359620729512294,0.017857142857142873,66.66666666666666,buy
169,2010-12-30,104379.98145000004,2,104381.54145000003,0.78,0.013133513285720594,0.017142857142857158,66.66666666666666,buy
170,2010-12-31,104379.98145000004,2,104381.52145000003,0.77,0.012475564629755779,0.017142857142857158,50.0,buy
171,2011-01-03,104379.98145000004,2,104381.58145000004,0.8,0.014720011918741078,0.019285714285714295,70.0,buy
172,2011-01-04,104379.98145000004,2,104381.58145000004,0.8,0.014806020206380834,0.020714285714285716,70.0,buy
173,2011-01-05,104379.98145000004,2,104381.62145000004,0.82,0.013857485639849088,0.02071428571428571,81.8181818181818,buy
174,2011-01-06,104379.98145000004,2,104381.64145000004,0.83,0.014077035126145951,0.019999999999999993,79.99999999999997,buy
175,2011-01-07,104379.98145000004,2,104381.64145000004,0.83,0.014077035126145951,0.021428571428571415,79.99999999999997,buy
176,2011-01-10,104379.98145000004,2,104381.66145000003,0.84,0.013985691078064993,0.021428571428571415,81.8181818181818,buy
177,2011-01-11,104379.98145000004,2,104381.66145000003,0.84,0.013951723985198457,0.021428571428571415,77.77777777777774,buy
178,2011-01-12,104379.98145000004,2,104381.70145000004,0.86,0.013414118997597122,0.02214285714285713,81.8181818181818,buy
179,2011-01-13,104379.98145000004,2,104381.70145000004,0.86,0.01340914177601911,0.022857142857142847,89.99999999999999,buy
180,2011-01-14,104380.86101000004,1,104381.74101000004,0.88,0.013374363601941039,0.02214285714285713,91.66666666666666,buy
181,2011-01-18,104380.86101000004,1,104381.75101000004,0.89,0.013338294178715692,0.022857142857142847,92.3076923076923,buy
182,2011-01-19,104380.86101000004,1,104381.72101000004,0.86,0.013873706381017342,0.02499999999999999,74.99999999999999,buy
183,2011-01-20,104380.86101000004,1,104381.70101000003,0.84,0.01579501658681872,0.027142857142857135,66.66666666666666,buy
184,2011-01-21,104380.86101000004,1,104381.68101000004,0.82,0.01579501658681872,0.028571428571428564,63.15789473684208,buy
185,2011-01-24,104380.86101000004,1,104381.71101000004,0.85,0.015374499555375027,0.027142857142857142,63.15789473684208,buy
186,2011-01-25,104380.86101000004,1,104381.72101000004,0.86,0.015448914155340119,0.026428571428571437,64.99999999999999,buy
187,2011-01-26,104380.86101000004,1,104381.73101000003,0.87,0.01598137001715675,0.026428571428571444,63.15789473684211,buy
188,2011-01-27,104380.86101000004,1,104381.75101000004,0.89,0.01638004889396699,0.02714285714285716,65.0,buy
189,2011-01-28,104380.86101000004,1,104381.68101000004,0.82,0.01960073351231964,0.030714285714285732,48.14814814814815,buy
190,2011-01-31,104380.86101000004,1,104381.69101000004,0.83,0.02122246168084483,0.032142857142857154,48.14814814814815,buy
191,2011-02-01,104380.86101000004,1,104381.74101000004,0.88,0.023603155154006676,0.0342857142857143,56.25,buy
192,2011-02-02,104380.86101000004,1,104381.73101000003,0.87,0.023544681654133544,0.033571428571428585,51.612903225806456,buy
